theta
0.002376431
0.021546248
-0.85585743
-0.891449
0.14350072
-0.4339863
2.0405238
-0.4825517
1.0316055
1.756872
-0.050358612
0.6432488
-0.25997582
0.57472277
-1.8423754
0.1921987
-0.21251327
0.15822335
0.21268187
0.25813392
-0.60609525
0.29220492
-0.27489126
-0.100906745
-0.41676387
0.20193937
-0.52300274
0.13256915
0.2739388
-0.15255564
-0.49846822
0.17109826
0.44895643
0.7159453
-0.27734348
-2.0507507
-0.024530562
0.35975683
0.271213
0.2185356
-0.839908
-0.10632908
0.17259316
-0.21411225
-0.6055554
0.6815022
0.24724106
1.69557
0.5608836
-0.8720975
-0.9707386
0.5812116
0.7474555
-0.04132161
0.21898536
0.44530353
-0.49596375
0.90563995
-0.12491471
1.7211268
0.2761803
-1.0426956
-0.5414286
0.8768264
0.42940137
-0.39495602
-0.18698835
-0.16358423
0.92696565
-0.30188704
0.10827163
0.29408056
0.11768511
0.7791885
0.695838
2.7694619
0.4792395
0.8317893
-0.2079962
0.36288744
-0.0031698002
0.77898854
1.1345589
0.21636383
1.8257091
0.845259
0.03264899
-0.7157839
0.84757495
-0.594641
-0.8185947
-0.10799328
-0.36089155
0.014209357
-0.9285391
-0.0044982033
1.378719
-0.012557065
-1.015371
0.69568306
0.3011387
-0.65952
1.2213244
-0.116787195
1.0539547
-0.44898
0.7160852
0.828004
0.15382317
-0.8091533
0.8319853
-0.88329047
-0.54837096
-0.30601844
-0.56100607
0.32441956
1.147344
-0.77131826
0.11370753
0.37380478
-0.72428674
0.7430982
0.9026553
0.5088466
1.6767786
1.2861848
-0.8020627
-0.4953598
0.9227777
0.033375554
-0.0457997
-0.4261657
0.31694448
-0.68972236
0.2789971
-0.09168598
-0.39651394
-0.31259736
0.11489024
-0.38520297
0.661217
-0.0072111757
0.7665412
0.24682745
0.88953656
1.041834
-0.1361555
-0.29104385
0.049800623
-0.20786221
-0.14795502
0.9854343
0.5768536
0.6984627
0.018925156
0.6737096
-0.62545663
0.7508869
0.6823822
0.27800673
0.39848107
0.5672724
0.40963078
-0.06320943
0.4070713
-0.84388846
-0.96556187
1.4699311
0.13709106
-0.56173885
0.5985214
0.022454277
0.4752168
0.9742959
0.60162663
0.59823096
0.94595325
-0.2583625
-0.763117
-0.06494696
0.6693658
0.06755403
1.1668478
0.6804467
-0.6574291
-0.5520969
-0.27891302
1.4069954
0.018890865
1.1190746
-0.7965192
0.82320374
-0.4919811
-1.3254678
