,0,1,2,3,4,5
0,1,0,0,0,1,0
1,0,1,1,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,1
4,1,0,0,0,1,0
5,1,0,0,0,1,0
6,0,1,1,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,1
9,1,0,0,0,1,0
10,1,0,0,0,1,0
11,0,1,0,0,0,1
12,1,0,1,0,1,0
13,0,0,1,1,0,1
14,0,0,0,0,0,0
15,0,0,0,0,0,1
16,0,0,0,0,0,1
17,0,0,0,0,0,0
