slip,guess
0.433244,0.50239813
0.387077,0.4188388
0.42770952,0.5814413
0.5726423,0.44746107
0.6195198,0.43464845
0.580771,0.4574447
0.49146825,0.53039026
0.45673272,0.544447
0.48887894,0.5155844
0.5325862,0.48499173
0.5280468,0.48746786
0.4068862,0.6022763
0.5464421,0.5030514
0.5583851,0.48859704
0.5306734,0.46995956
0.5103142,0.49206695
0.43799686,0.5639079
0.51999575,0.4805024
