0,1,2,3,4,5,6
0.75030315,0.70530427,0.17087838,0.76132524,0.30957943,0.10336296,0.29301208
0.5960888,0.6464593,0.29250503,0.5236244,0.71153975,0.3291103,0.116175845
0.8716614,0.5714609,0.50530314,0.26844612,0.49669468,0.22105333,0.42458177
0.93337804,0.28406975,0.17988014,0.41749534,0.60810083,0.4753026,0.2847238
0.5094782,0.76232064,0.48892686,0.08736051,0.7274398,0.13272731,0.20372157
0.823703,0.42703226,0.6418229,0.25318664,0.44178647,0.5031928,0.7926304
0.4935514,0.39334363,0.17783517,0.6602732,0.18431772,0.22735608,0.587822
0.63697606,0.54570633,0.7505557,0.12849395,0.819189,0.68525857,0.343952
0.3139678,0.18166497,0.13120869,0.69423026,0.47483322,0.7025637,0.19669409
0.6321261,0.65143925,0.44926327,0.5813821,0.8133304,0.6725636,0.05484327
0.7673965,0.49452302,0.47833025,0.52690625,0.47477153,0.50516284,0.30078864
0.39460278,0.39126167,0.54028326,0.46223065,0.53463334,0.43292475,0.31395575
0.5427847,0.45758992,0.54293257,0.29921025,0.8931158,0.42180526,0.09596598
0.5249414,0.17492898,0.55500084,0.6376066,0.65849143,0.465469,0.1671867
0.8649856,0.44741046,0.18722217,0.70985067,0.5857937,0.22819617,0.25003105
0.65722644,0.3906595,0.38486597,0.36685717,0.30555633,0.27017185,0.6072182
0.57628727,0.76733387,0.36787078,0.43139657,0.57681936,0.4961515,0.19755596
0.41537443,0.4529355,0.1922903,0.51784295,0.38613242,0.32402632,0.7124165
0.12947567,0.3390779,0.4582178,0.44587356,0.6094431,0.74731004,0.40518776
0.45872867,0.38617072,0.40082514,0.35349768,0.47519684,0.5178612,0.33796355
0.6573556,0.22759442,0.3558199,0.19410145,0.53812987,0.5928225,0.7501214
0.6204101,0.59492844,0.27150112,0.7045523,0.7559477,0.7863834,0.12707576
0.38810354,0.29814872,0.37377104,0.69455695,0.5498937,0.2504285,0.0995079
0.40890682,0.25331762,0.47876006,0.25870445,0.4275365,0.38156265,0.5493523
0.8459165,0.5292718,0.61796784,0.5288373,0.67499,0.14910057,0.2252831
0.9160308,0.26121286,0.77615994,0.22592661,0.77976567,0.35843384,0.21106419
0.88604647,0.5464387,0.1625637,0.20583472,0.87169874,0.6348131,0.16920994
0.5207901,0.64894557,0.19252992,0.56818384,0.5205967,0.3981212,0.17573988
0.5471625,0.66790915,0.46601513,0.2198473,0.6783337,0.6790485,0.56293577
0.37837505,0.25561604,0.26902142,0.7393893,0.19037658,0.3039589,0.546971
0.72624576,0.30825198,0.32234955,0.2597281,0.8976653,0.31961086,0.12512046
0.42075503,0.4006057,0.20083012,0.3179908,0.7845892,0.2889213,0.21567129
0.42199916,0.35150826,0.29218128,0.30683985,0.66558677,0.28800374,0.41009918
0.8864751,0.5415129,0.6091005,0.3841196,0.5238937,0.2658689,0.39686424
0.67506826,0.31147105,0.5726141,0.63232213,0.4765204,0.23544894,0.5564179
0.6423612,0.26303288,0.62662715,0.7685351,0.42903227,0.29799357,0.39620188
0.13883877,0.5770647,0.17028761,0.616758,0.6275315,0.23205848,0.3009733
0.29199275,0.6415528,0.12058695,0.34812343,0.728494,0.40969777,0.5119374
0.17924757,0.66822827,0.58914787,0.50373536,0.69195807,0.36673823,0.4787858
0.54571587,0.45734677,0.2856709,0.38510188,0.61760014,0.25271082,0.60408324
0.94470745,0.77338636,0.35424313,0.37084615,0.5356985,0.6350494,0.31831917
0.61388826,0.19569942,0.44832438,0.45313427,0.672501,0.74869406,0.52467155
0.5790993,0.63595396,0.7337073,0.52474606,0.23838203,0.20238584,0.68845004
0.60130686,0.42734712,0.62287873,0.48323712,0.81011796,0.22999349,0.08934713
0.44163832,0.48576006,0.11293627,0.39963457,0.7213941,0.34851617,0.37476656
0.65877444,0.5723972,0.9211135,0.441922,0.5593542,0.49815586,0.6741158
0.5355988,0.58939534,0.27715728,0.50265056,0.4380992,0.26817447,0.33945775
0.607377,0.19910903,0.45377982,0.21654396,0.72854257,0.66761285,0.29417887
